Season,Episodes,Start Date,End Date,Viewers (Mil.),18–49 Rating,season_number,Overall_Rating
1975–76,24,"October 11, 1975","July 31, 1976",N/A,N/A,1,6.4
1976–77,22,"September 18, 1976","May 21, 1977",N/A,N/A,2,7.9
1977–78,20,"September 24, 1977","May 20, 1978",N/A,N/A,3,9.8
1978–79,20,"October 7, 1978","May 26, 1979",N/A,N/A,4,13.1
1979–80,20,"October 13, 1979","May 24, 1980",N/A,N/A,5,13.5
1980–81,13,"November 15, 1980","April 11, 1981",N/A,N/A,6,10.5
1981–82,20,"October 3, 1981","May 22, 1982",N/A,N/A,7,9.0
1982–83,20,"September 25, 1982","May 14, 1983",N/A,N/A,8,7.4
1983–84,19,"October 8, 1983","May 14, 1983",N/A,N/A,9,7.4
1984–85,17,"October 6, 1984","April 13, 1985",N/A,N/A,10,7.5
1985–86,18,"November 9, 1985","May 24, 1986",N/A,N/A,11,7.1
1986–87,20,"October 11, 1986","May 23, 1987",N/A,N/A,12,7.6
1987–88,13,"October 17, 1987","February 27, 1988",11.77,6.4,13,8.4
1988–89,20,"October 8, 1988","May 20, 1989",10.73,5.5,14,7.9
1989–90,20,"September 30, 1989","May 19, 1990",11.09,5.8,15,8.1
1990–91,20,"September 29, 1990","May 18, 1991",10.55,5.7,16,7.5
1991–92,20,"September 28, 1991","May 16, 1992",12.37,6.8,17,8.8
1992–93,20,"September 26, 1992","May 15, 1993",12.67,7.1,18,9.2
1993–94,20,"September 25, 1993","May 14, 1994",11.32,6.3,19,8.2
1994–95,20,"September 24, 1994","May 13, 1995",9.87,5.4,20,7.2
1995–96,20,"September 30, 1995","May 18, 1996",7.40,3.8,21,5.6
1996–97,20,"September 28, 1996","May 17, 1997",9.08,4.8,22,6.7
1997–98,20,"September 27, 1997","May 9, 1998",9.18,5.0,23,6.6
1998–99,19,"September 26, 1998","May 15, 1999",8.44,4.5,24,6.1
1999–2000,20,"October 2, 1999","May 20, 2000",8.32,4.4,25,6.0
2000–01,20,"October 7, 2000","May 19, 2001",8.88,4.6,26,6.7
2001–02,20,"September 29, 2001","May 18, 2002",8.78,4.4,27,6.7
2002–03,20,"October 5, 2002","May 17, 2003",8.34,4.1,28,6.7
2003–04,20,"October 4, 2003","May 15, 2004",8.09,3.8,29,5.5
2004–05,20,"October 2, 2004","May 21, 2005",7.77,3.6,30,5.1
2005–06,19,"October 1, 2005","May 20, 2006",6.96,3.2,31,4.7
2006–07,20,"September 30, 2006","May 19, 2007",6.90,3.0,32,4.6
2007–08,12,"September 29, 2007","May 17, 2008",6.87,3.0,33,4.9
2008–09,22,"September 13, 2008","May 16, 2009",9.17,3.9,34,5.8
2009–10,22,"September 26, 2009","May 15, 2010",8.41,3.5,35,5.2
2010–11,22,"September 25, 2010","May 21, 2011",8.46,3.4,36,5.2
2011–12,22,"September 24, 2011","May 19, 2012",8.38,3.3,37,5.4
2012–13,21,"September 15, 2012","May 18, 2013",8.38,3.4,38,8.46
2013–14,21,"September 28, 2013","May 17, 2014",8.46,3.3,39,5.2
2014–15,21,"September 27, 2014","May 16, 2015",8.46,2.7,40,4.6
2015–16,21,"October 3, 2015","May 21, 2016",8.46,2.9,41,4.9
2016–17,21,"October 1, 2016","May 20, 2017",7.46,3.5,42,4.6
2017–18,21,"September 29, 2017","May 19, 2018",7.55,N/A,43,N/A
