Host,Musical_Guest,IMDBratings,air_date,season_number,Season,overall_rating,18–49 Rating,episode_number
George Carlin,Billy Preston & Janis Ian,7.6,10-11-1975,1,1975–76,6.4,N/A,1
Paul Simon,"Randy Newman, Phoebe Snow, Art Garfunkel & Jessy Dixon Singers",6.4,10-18-1975,1,1975–76,6.4,N/A,2
Rob Reiner,none,7,10-25-1975,1,1975–76,6.4,N/A,3
Candice Bergen,Esther Phillips,7.1,11-8-1975,1,1975–76,6.4,N/A,4
Robert Klein,ABBA & Loudon Wainwright III,6.9,11-15-1975,1,1975–76,6.4,N/A,5
Lily Tomlin,Tomlin with Howard Shore & the All Nurse Band,7.1,11-22-1975,1,1975–76,6.4,N/A,6
Richard Pryor,Gil Scott-Heron,8.6,12-13-1975,1,1975–76,6.4,N/A,7
Candice Bergen,Martha Reeves & The Stylistics,7.1,12-20-1975,1,1975–76,6.4,N/A,8
Elliott Gould,Anne Murray,7,01-10-1976,1,1975–76,6.4,N/A,9
Buck Henry,Bill Withers & Toni Basil,7.8,01-17-1976,1,1975–76,6.4,N/A,10
Peter Cook & Dudley Moore,Neil Sedaka,7.4,01-24-1976,1,1975–76,6.4,N/A,11
Dick Cavett,Jimmy Cliff,6.4,01-31-1976,1,1975–76,6.4,N/A,12
Peter Boyle,Al Jarreau,7.2,02-14-1976,1,1975–76,6.4,N/A,13
Desi Arnaz,"Desi Arnaz & Desi Arnaz, Jr.",7.3,02-21-1976,1,1975–76,6.4,N/A,14
Jill Clayburgh,Leon Redbone & The Idlers,7.4,02-28-1976,1,1975–76,6.4,N/A,15
Anthony Perkins,Betty Carter,7.3,03-13-1976,1,1975–76,6.4,N/A,16
Ron Nessen,Patti Smith,7.2,04-17-1976,1,1975–76,6.4,N/A,17
Raquel Welch,Phoebe Snow & John Sebastian,6.9,04-24-1976,1,1975–76,6.4,N/A,18
Madeline Kahn,Carly Simon,8.2,05-8-1976,1,1975–76,6.4,N/A,19
Dyan Cannon,Leon and Mary Russell,6.7,05-15-1976,1,1975–76,6.4,N/A,20
Buck Henry,Gordon Lightfoot & Garrett Morris,7.6,05-22-1976,1,1975–76,6.4,N/A,21
Elliott Gould,"Leon Redbone, Harlan Collins & Joyce Everson",8,05-29-1976,1,1975–76,6.4,N/A,22
Louise Lasser,Preservation Hall Jazz Band,5.5,07-24-1976,1,1975–76,6.4,N/A,23
Kris Kristofferson,Rita Coolidge,7,07-31-1976,1,1975–76,6.4,N/A,24
Lily Tomlin,James Taylor,7.4,09-18-1976,2,1976–77,7.9,N/A,25
Norman Lear,Boz Scaggs,7.6,09-25-1976,2,1976–77,7.9,N/A,26
Eric Idle,Joe Cocker & Stuff,7.8,10-2-1976,2,1976–77,7.9,N/A,27
Karen Black,John Prine,6.8,10-16-1976,2,1976–77,7.9,N/A,28
Steve Martin,Kinky Friedman,7.6,10-23-1976,2,1976–77,7.9,N/A,29
Buck Henry,The Band,7.6,10-30-1976,2,1976–77,7.9,N/A,30
Dick Cavett,Ry Cooder,7,11-13-1976,2,1976–77,7.9,N/A,31
Paul Simon,Paul Simon & George Harrison,7.7,11-20-1976,2,1976–77,7.9,N/A,32
Jodie Foster,Brian Wilson,7,11-27-1976,2,1976–77,7.9,N/A,33
Candice Bergen,"Frank Zappa with Don Pardo as ""The Slime""",8,12-11-1976,2,1976–77,7.9,N/A,34
Ralph Nader,George Benson,7.4,01-15-1977,2,1976–77,7.9,N/A,35
Ruth Gordon,Chuck Berry,7.3,01-22-1977,2,1976–77,7.9,N/A,36
